,index,wfv_sen2,r_slope_pre12H_sen2,r_et_sum_prior_24,head_sen2_cm,kunsat_sen2,wti,hours_ahead,r_et_sum_post,wfv_post_sen2,Timestamp
9773,474,39.1,0.0227331,4.89,115.9986146,0.007940918,0.003327175,360,6.94,39,5/16/23 15:30
16540,474,39.1,0.0227331,4.89,115.9986146,0.007940918,0.003327175,432,7.03,38.7,5/16/23 15:30
21961,474,39.1,0.0227331,4.89,115.9986146,0.007940918,0.003327175,480,7.09,38.8,5/16/23 15:30
26610,474,39.1,0.0227331,4.89,115.9986146,0.007940918,0.003327175,576,10.44,38.5,5/16/23 15:30
9774,475,39.1,0.022390282,4.89,115.9986146,0.007940918,0.003327175,360,6.94,39,5/16/23 15:35
16541,475,39.1,0.022390282,4.89,115.9986146,0.007940918,0.003327175,432,7.03,38.7,5/16/23 15:35
21962,475,39.1,0.022390282,4.89,115.9986146,0.007940918,0.003327175,480,7.09,38.8,5/16/23 15:35
26611,475,39.1,0.022390282,4.89,115.9986146,0.007940918,0.003327175,576,10.44,38.5,5/16/23 15:35
9775,476,39.1,0.022041034,4.89,115.9986146,0.007940918,0.003327175,360,6.94,39,5/16/23 15:40
16542,476,39.1,0.022041034,4.89,115.9986146,0.007940918,0.003327175,432,7.03,38.7,5/16/23 15:40
21963,476,39.1,0.022041034,4.89,115.9986146,0.007940918,0.003327175,480,7.09,38.8,5/16/23 15:40
26612,476,39.1,0.022041034,4.89,115.9986146,0.007940918,0.003327175,576,10.44,38.5,5/16/23 15:40
64,477,39.3,0.021742826,4.89,112.3079943,0.008444483,0.004132878,288,5.27,39.1,5/16/23 15:45
9776,477,39.3,0.021742826,4.89,112.3079943,0.008444483,0.004132878,360,6.94,39,5/16/23 15:45
16543,477,39.3,0.021742826,4.89,112.3079943,0.008444483,0.004132878,432,7.03,38.7,5/16/23 15:45
21964,477,39.3,0.021742826,4.89,112.3079943,0.008444483,0.004132878,480,7.09,38.8,5/16/23 15:45
26613,477,39.3,0.021742826,4.89,112.3079943,0.008444483,0.004132878,576,10.44,38.5,5/16/23 15:45
65,478,41,0.02192589,4.89,80.51111728,0.014530367,0.013870292,288,5.27,39.1,5/16/23 15:50
9777,478,41,0.02192589,4.89,80.51111728,0.014530367,0.013870292,360,6.94,39,5/16/23 15:50
16544,478,41,0.02192589,4.89,80.51111728,0.014530367,0.013870292,432,7.03,38.7,5/16/23 15:50
21965,478,41,0.02192589,4.89,80.51111728,0.014530367,0.013870292,480,7.09,38.8,5/16/23 15:50
26614,478,41,0.02192589,4.89,80.51111728,0.014530367,0.013870292,576,10.44,38.5,5/16/23 15:50
66,479,41,0.022094888,4.89,80.51111728,0.014530367,0.013870292,288,5.27,39.1,5/16/23 15:55
9778,479,41,0.022094888,4.89,80.51111728,0.014530367,0.013870292,360,6.94,39,5/16/23 15:55
16545,479,41,0.022094888,4.89,80.51111728,0.014530367,0.013870292,432,7.03,38.7,5/16/23 15:55
21966,479,41,0.022094888,4.89,80.51111728,0.014530367,0.013870292,480,7.09,38.8,5/16/23 15:55
26615,479,41,0.022094888,4.89,80.51111728,0.014530367,0.013870292,576,10.44,38.5,5/16/23 15:55
67,480,41.3,0.022336026,5.06,74.68422503,0.016087278,0.016361351,288,5.3,39.1,5/16/23 16:00
9779,480,41.3,0.022336026,5.06,74.68422503,0.016087278,0.016361351,360,6.41,39,5/16/23 16:00
16546,480,41.3,0.022336026,5.06,74.68422503,0.016087278,0.016361351,432,6.5,38.7,5/16/23 16:00
21967,480,41.3,0.022336026,5.06,74.68422503,0.016087278,0.016361351,480,6.68,38.8,5/16/23 16:00
26616,480,41.3,0.022336026,5.06,74.68422503,0.016087278,0.016361351,576,10.43,38.5,5/16/23 16:00
68,481,41.3,0.022561892,5.06,74.68422503,0.016087278,0.016361351,288,5.3,39.1,5/16/23 16:05
9780,481,41.3,0.022561892,5.06,74.68422503,0.016087278,0.016361351,360,6.41,39,5/16/23 16:05
16547,481,41.3,0.022561892,5.06,74.68422503,0.016087278,0.016361351,432,6.5,38.7,5/16/23 16:05
21968,481,41.3,0.022561892,5.06,74.68422503,0.016087278,0.016361351,480,6.68,38.8,5/16/23 16:05
26617,481,41.3,0.022561892,5.06,74.68422503,0.016087278,0.016361351,576,10.43,38.5,5/16/23 16:05
69,482,41.3,0.022772486,5.06,74.68422503,0.016087278,0.016361351,288,5.3,39.1,5/16/23 16:10
9781,482,41.3,0.022772486,5.06,74.68422503,0.016087278,0.016361351,360,6.41,39,5/16/23 16:10
16548,482,41.3,0.022772486,5.06,74.68422503,0.016087278,0.016361351,432,6.5,38.7,5/16/23 16:10
21969,482,41.3,0.022772486,5.06,74.68422503,0.016087278,0.016361351,480,6.68,38.8,5/16/23 16:10
26618,482,41.3,0.022772486,5.06,74.68422503,0.016087278,0.016361351,576,10.43,38.5,5/16/23 16:10
70,483,41.3,0.022967808,5.06,74.68422503,0.016087278,0.016361351,288,5.3,39.1,5/16/23 16:15
9782,483,41.3,0.022967808,5.06,74.68422503,0.016087278,0.016361351,360,6.41,39,5/16/23 16:15
16549,483,41.3,0.022967808,5.06,74.68422503,0.016087278,0.016361351,432,6.5,38.7,5/16/23 16:15
21970,483,41.3,0.022967808,5.06,74.68422503,0.016087278,0.016361351,480,6.68,38.8,5/16/23 16:15
26619,483,41.3,0.022967808,5.06,74.68422503,0.016087278,0.016361351,576,10.43,38.5,5/16/23 16:15
71,484,41.3,0.023147858,5.06,74.68422503,0.016087278,0.016361351,288,5.3,39.3,5/16/23 16:20
9783,484,41.3,0.023147858,5.06,74.68422503,0.016087278,0.016361351,360,6.41,39,5/16/23 16:20
16550,484,41.3,0.023147858,5.06,74.68422503,0.016087278,0.016361351,432,6.5,38.7,5/16/23 16:20
21971,484,41.3,0.023147858,5.06,74.68422503,0.016087278,0.016361351,480,6.68,38.8,5/16/23 16:20
26620,484,41.3,0.023147858,5.06,74.68422503,0.016087278,0.016361351,576,10.43,38.5,5/16/23 16:20
72,485,41.3,0.023312636,5.06,74.68422503,0.016087278,0.016361351,288,5.3,39.3,5/16/23 16:25
9784,485,41.3,0.023312636,5.06,74.68422503,0.016087278,0.016361351,360,6.41,39,5/16/23 16:25
16551,485,41.3,0.023312636,5.06,74.68422503,0.016087278,0.016361351,432,6.5,38.7,5/16/23 16:25
21972,485,41.3,0.023312636,5.06,74.68422503,0.016087278,0.016361351,480,6.68,38.8,5/16/23 16:25
26621,485,41.3,0.023312636,5.06,74.68422503,0.016087278,0.016361351,576,10.43,38.5,5/16/23 16:25
73,486,41.3,0.023462141,5.06,74.68422503,0.016087278,0.016361351,288,5.3,39.3,5/16/23 16:30
9785,486,41.3,0.023462141,5.06,74.68422503,0.016087278,0.016361351,360,6.41,39,5/16/23 16:30
16552,486,41.3,0.023462141,5.06,74.68422503,0.016087278,0.016361351,432,6.5,38.7,5/16/23 16:30
21973,486,41.3,0.023462141,5.06,74.68422503,0.016087278,0.016361351,480,6.68,38.8,5/16/23 16:30
26622,486,41.3,0.023462141,5.06,74.68422503,0.016087278,0.016361351,576,10.43,38.5,5/16/23 16:30
74,487,41.3,0.023596375,5.06,74.68422503,0.016087278,0.016361351,288,5.3,39.1,5/16/23 16:35
9786,487,41.3,0.023596375,5.06,74.68422503,0.016087278,0.016361351,360,6.41,39,5/16/23 16:35
16553,487,41.3,0.023596375,5.06,74.68422503,0.016087278,0.016361351,432,6.5,38.7,5/16/23 16:35
21974,487,41.3,0.023596375,5.06,74.68422503,0.016087278,0.016361351,480,6.68,38.8,5/16/23 16:35
26623,487,41.3,0.023596375,5.06,74.68422503,0.016087278,0.016361351,576,10.43,38.5,5/16/23 16:35
75,488,41.3,0.023715336,5.06,74.68422503,0.016087278,0.016361351,288,5.3,39.3,5/16/23 16:40
9787,488,41.3,0.023715336,5.06,74.68422503,0.016087278,0.016361351,360,6.41,39,5/16/23 16:40
16554,488,41.3,0.023715336,5.06,74.68422503,0.016087278,0.016361351,432,6.5,38.7,5/16/23 16:40
21975,488,41.3,0.023715336,5.06,74.68422503,0.016087278,0.016361351,480,6.68,38.8,5/16/23 16:40
26624,488,41.3,0.023715336,5.06,74.68422503,0.016087278,0.016361351,576,10.43,38.5,5/16/23 16:40
76,489,41.3,0.023819026,5.06,74.68422503,0.016087278,0.016361351,288,5.3,39.1,5/16/23 16:45
9788,489,41.3,0.023819026,5.06,74.68422503,0.016087278,0.016361351,360,6.41,39,5/16/23 16:45
16555,489,41.3,0.023819026,5.06,74.68422503,0.016087278,0.016361351,432,6.5,38.7,5/16/23 16:45
21976,489,41.3,0.023819026,5.06,74.68422503,0.016087278,0.016361351,480,6.68,38.8,5/16/23 16:45
26625,489,41.3,0.023819026,5.06,74.68422503,0.016087278,0.016361351,576,10.43,38.2,5/16/23 16:45
77,490,41.5,0.023964914,5.06,70.73050271,0.017244237,0.018212485,288,5.3,39.1,5/16/23 16:50
9789,490,41.5,0.023964914,5.06,70.73050271,0.017244237,0.018212485,360,6.41,39,5/16/23 16:50
16556,490,41.5,0.023964914,5.06,70.73050271,0.017244237,0.018212485,432,6.5,38.7,5/16/23 16:50
21977,490,41.5,0.023964914,5.06,70.73050271,0.017244237,0.018212485,480,6.68,38.8,5/16/23 16:50
26626,490,41.5,0.023964914,5.06,70.73050271,0.017244237,0.018212485,576,10.43,38.2,5/16/23 16:50
78,491,41.5,0.024094727,5.06,70.73050271,0.017244237,0.018212485,288,5.3,39,5/16/23 16:55
9790,491,41.5,0.024094727,5.06,70.73050271,0.017244237,0.018212485,360,6.41,39,5/16/23 16:55
16557,491,41.5,0.024094727,5.06,70.73050271,0.017244237,0.018212485,432,6.5,38.7,5/16/23 16:55
21978,491,41.5,0.024094727,5.06,70.73050271,0.017244237,0.018212485,480,6.68,38.8,5/16/23 16:55
26627,491,41.5,0.024094727,5.06,70.73050271,0.017244237,0.018212485,576,10.43,38.5,5/16/23 16:55
79,492,41.6,0.0242372,5.12,68.72880126,0.017863437,0.018314186,288,5.34,39.1,5/16/23 17:00
9791,492,41.6,0.0242372,5.12,68.72880126,0.017863437,0.018314186,360,6.01,39,5/16/23 17:00
16558,492,41.6,0.0242372,5.12,68.72880126,0.017863437,0.018314186,432,6.08,38.7,5/16/23 17:00
21979,492,41.6,0.0242372,5.12,68.72880126,0.017863437,0.018314186,480,6.46,38.8,5/16/23 17:00
26628,492,41.6,0.0242372,5.12,68.72880126,0.017863437,0.018314186,576,10.43,38.5,5/16/23 17:00
80,493,41.6,0.024363194,5.12,68.72880126,0.017863437,0.018314186,288,5.34,39,5/16/23 17:05
9792,493,41.6,0.024363194,5.12,68.72880126,0.017863437,0.018314186,360,6.01,39,5/16/23 17:05
16559,493,41.6,0.024363194,5.12,68.72880126,0.017863437,0.018314186,432,6.08,38.7,5/16/23 17:05
21980,493,41.6,0.024363194,5.12,68.72880126,0.017863437,0.018314186,480,6.46,38.8,5/16/23 17:05
26629,493,41.6,0.024363194,5.12,68.72880126,0.017863437,0.018314186,576,10.43,38.2,5/16/23 17:05
81,494,41.3,0.024386504,5.12,74.68422503,0.016087278,0.014830968,288,5.34,38.8,5/16/23 17:10
9793,494,41.3,0.024386504,5.12,74.68422503,0.016087278,0.014830968,360,6.01,39,5/16/23 17:10
